odds_name,player_id,note
Chung H.,111202,Hyeon Chung KOR -- only Chung in main draws
Kuznetsov Al.,104864,Alex Kuznetsov USA
Kuznetsov An.,105723,Andrey Kuznetsov RUS
Martin A.,211346,Andres Martin USA 2001 -- not the 1976 ARG one
Nava E.,207182,Emilio Nava USA -- plays GS not Eduardo
Zhang Z.,105585,Ze Zhang CHN early
Zhang Zh.,111190,Zhizhen Zhang CHN
Auger-Aliassime F.,200000,Felix Auger Aliassime CAN
Barrios M.,,DROP edge case rank 209 2021 Wimbledon ambiguous
Bautista R.,105138,Roberto Bautista Agut ESP early short form
Bautista Agut R.,105138,same person later full form
Bogomolov A.,104166,Alex Bogomolov Jr
Bu Y.,207352,Bu Yunchaokete CHN
Brugues-Davi A.,104516,Arnau Brugues Davi ESP -- pool has only Arnau
Carreno-Busta P.,105807,Pablo Carreno Busta ESP
Cervantes I.,105438,Inigo Cervantes Huegun ESP
Del Potro J. M.,105223,Juan Martin del Potro ARG
Dolgopolov O.,105238,Alexandr Dolgopolov UKR 1988 -- not 1964 namesake
Dutra Da Silva R.,104297,Rogerio Dutra Silva BRA
Estrella Burgos V.,103607,Victor Estrella DOM
Garcia-Lopez G.,104198,Guillermo Garcia Lopez ESP
Gimeno-Traver D.,104593,Daniel Gimeno Traver ESP
Haider-Maurer A.,104890,Andreas Haider-Maurer AUT
Mecir M.,105080,Miloslav Mecir Jr SVK
Menendez-Maceiras A.,104629,Adrian Menendez Maceiras ESP
Mpetshi G.,208659,Giovanni Mpetshi Perricard FRA
Munoz-De La Nava D.,103926,Daniel Munoz de la Nava ESP
O Connell C.,106331,Christopher Oconnell AUS
O'Connell C.,106331,same person
Ramirez-Hidalgo R.,103105,Ruben Ramirez Hidalgo ESP -- thin old belief
Ramos-Vinolas A.,105077,Albert Ramos ESP
Samper-Montana J.,105515,Jordi Samper Montana ESP
Tseng C. H.,202358,Chun Hsin Tseng TPE
Varillas J. P.,122669,Juan Pablo Varillas PER
Viola Mat.,104970,Matteo Viola ITA
Blanch Dar.,,DROP new junior 2024+ thin belief
Kuznetsov A.,,DROP ambiguous single-initial Alex vs Andrey
Landaluce M.,,DROP new junior 2024+ thin belief
Wong C.,,DROP new junior 2024+ thin belief